id,question,answer,updatedDate,subcategory,category,category_id,subcategory_id,lastEditor_id,lastEditor_name,lastEditor_username
01ac6c58-e185-4884-af99-6bad331b41bd,สามารถลงทะเบียนเกินหน่วยกิตที่หลักสูตรกำหนดได้หรือไม่,"1. นักศึกษาปกติ ชั้นปีที่ 1 ถึง ชั้นปีที่ 4 เทอม 1 เกรดเฉลี่ยสะสมเกณฑ์น้อยกว่า 2.5 ห้ามลงทะเบียนเกินหน่วยกิตที่หลักสูตรกำหนด 2.5 ถึง 3.00 ลงทะเบียนเกินหน่วยกิตที่หลักสูตรกำหนดได้ 1 วิชา (ไม่เกิน 3 หน่วยกิต)  3.00 ขึ้นไปลงทะเบียนเกินหน่วยกิตที่หลักสูตรกำหนดได้ ตามที่อาจารย์ที่ปรึกษาเห็นสมควร
2. นักศึกษาสหกิจ ชั้นปีที่ 3 เกรดเฉลี่ยสะสมเกณฑ์น้อยกว่า 2.5 ลงทะเบียนเกินหน่วยกิตที่หลักสูตรกำหนดได้ 1 วิชา (ไม่เกิน 3 หน่วยกิต) 2.5 ถึง 3.00 ลงทะเบียนเกินหน่วยกิตที่หลักสูตรกำหนดได้ 2 วิชา (ไม่เกิน 6 หน่วยกิต) 3.00 ขึ้นไป ลงทะเบียนเกินหน่วยกิตที่หลักสูตรกำหนดได้ ตามที่อาจารย์ที่ปรึกษาเห็นสมควร
3. นักศึกษาชั้นปีที่ 4 เทอม 2 เกณฑ์ ลงทะเบียนเกินหน่วยกิตที่หลักสูตรกำหนดได้ ตามที่อาจารย์ที่ปรึกษาเห็นสมควร",2021-05-12T19:43:13.000Z,หลักสูตร,ลงทะเบียนเรียน,92302aa2-bf0f-4ee6-9288-ada605f982d0,63138d4c-450c-4821-8ece-cf881af8484a,root-id,rootadmin,root
03528d65-e4f0-49e3-bdbd-3bdd1758d0bc,วิชาภาคบังคับที่มีวิชาต่อเนื่อง มีอะไรบ้าง หลักสูตรปกติ?,"วิชาภาคบังคับที่มีวิชาต่อเนื่อง แยกตามกลุ่มวิชาดังนี้

MTH 101 คณิตศาสตร์1 (Mathematics I)
MTH 102 คณิตศาสตร์ 2 Mathematics II
วิชาบังคับก่อน : MTH 101 Mathematics I
MTH 201 คณิตศาสตร์3Mathematics III
วิชาบังคับก่อน : MTH 102
STA 302 สถิติสำหรับวิศวกร Statistics for Engineers
วิชาบังคับก่อน : MTH 102
------------------------------------------------------------------
PHY 103 ฟิสิกส์ทั่วไปสำหรับนักศึกษาวิศวกรรมศาสตร์1 (General Physics for Engineering Student I)
PHY 104 ฟิ สิกส์ทั่วไปสำหรับนักศึกษาวิศวกรรมศาสตร์ 2 (General Physics for Engineering Students II)
วิชาบังคับก่อน : PHY 103
-------------------------------------------------------------------
CPE 100 การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกร 
CPE 111 การเขียนโปรแกรมด้วยโครงสร้างข้อมูล Programming with Data Structures
วิชาบังคับก่อน : CPE 100 (ไม่อนุญาตให้นักศึกษาที่ได้ระดับคะแนน F ในวิชา CPE 100 ลงทะเบียนวิชานี้)
CPE 212 การออกแบบขั้นตอนวิธี Algorithm Design
วิชาบังคับก่อน : CPE 111, CPE 121
--------------------------------------------------------------------
CPE 223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรกะ
(Digital Electronics and Logic Design)
CPE 328 ระบบสมองกลฝังตัว Embedded Systems
วิชาบังคับก่อน : CPE 223
---------------------------------------------------------------------
LNG 101 ภาษาองักฤษทั่วไป 3 (General English)
LNG 102 ภาษาอังกฤษเชิงเทคนิค (Technical English)
วิชาบังคับก่อน : LNG 101 ภาษาอังกฤษทั่วไป (General English)
LNG 103 ภาษาอังกฤษเพื่อการสื่อสารในที่ทำงาน (English for Workplace Communication)
วิชาบังคับก่อน : LNG 102 ภาษาอังกฤษเชิงเทคนิค (Technical English)










",2021-05-12T19:42:58.000Z,หลักสูตรปกติ,หลักสูตร,057c3235-0d2b-4d9b-ac64-d736401c66d1,919dae89-bf87-4777-aef1-918fc0a4e862,root-id,rootadmin,root
03d502b3-967b-4e07-8177-bd461ed95dc5,ใบแจ้งชำระเงินค่าลงทะเบียน สั่งพิมพ์ได้จากที่ไหน,"Login เข้าระบบ https://sinfo.kmutt.ac.th/  เลือกเมนู ""ลงทะเบียนรายวิชา"" > เลือก ""ชำระเงินค่าลงทะเบียน/ค่าลาพัก (รักษาสถานภาพ) และอื่นๆ"" > กด ""ชำระเงิน"" > ระบบจะแสดงใบแจ้งหนี้ให้นักศึกษานำไปชำระ",2021-05-12T19:43:11.000Z,เอกสาร,ลงทะเบียนเรียน,92302aa2-bf0f-4ee6-9288-ada605f982d0,fa40cb26-386c-4330-a166-f26f41f7f0f7,root-id,rootadmin,root
09192e6e-2bc1-49a3-9ac0-dc01b5982885,ตอนดรอปต้องขอลายเซ็นใครบ้าง?,"หากนักศึกษาต้องการถอดถอนวิชาหลังจาก 2 สัปดาห์แรกหลังจา่กช่วงลงทะเบียนเรียน, นักศึกษาสามารถใช้แบบฟอร์ม สทน.26
ลายเซ็นต์ที่ต้องการ;
1. เจ้าหน้าที่ทะเบียน 
2. อาจารย์ที่ปรึกษา 
3. หัวหน้าภาควิชา 
สามารถ Download คำร้องได้ที่นี่ https://regis.kmutt.ac.th/web/form/ ",2021-05-12T19:43:08.000Z,เพิ่มลดรายวิชา,ลงทะเบียนเรียน,92302aa2-bf0f-4ee6-9288-ada605f982d0,a52f4ea3-2ec2-4373-9351-1cae1be707a7,root-id,rootadmin,root
09d2cce4-70dd-45fa-9e94-da3d71d3c383,ขอทรานสคริปต์ออนไลน์ได้ที่ไหน,"นักศึกษาสามารถทำตามรายละเอียดได้ตามนี้
1. ดาวน์โหลดแอปพลิเคชั่น ""New ACIS Mobile Application""
2. เลือกเมนู New ACIS Mobile
3. Login เข้าสู่ระบบ 
4. เลือก Download Transcript
5. เลือก Download
6. Get your Digital Transcript",2021-05-12T19:43:12.000Z,เอกสาร,ลงทะเบียนเรียน,92302aa2-bf0f-4ee6-9288-ada605f982d0,fa40cb26-386c-4330-a166-f26f41f7f0f7,root-id,rootadmin,root
09e0403b-3f1c-4fc3-9b2d-e9de1371d26a,ถ้าไม่ได้เป็นนักศึกษาชั้นปีที่ 3 สามารถฝึกงานได้หรือไม่？,สามารถฝึกงานได้ แต่จะไม่ถูกบันทึกเข้าระบบว่าผ่านการฝึกงานแล้ว เมื่อเป็นนักศึกษาปีที่ 3 ก็จำเป็นที่จะต้องฝึกงานใหม่อีกครั้งตามหลักสูตร,2021-05-12T19:43:07.000Z,ฝึกงาน,หลักสูตร,057c3235-0d2b-4d9b-ac64-d736401c66d1,b75ca45f-e54c-47ff-9103-605fdbd2b554,root-id,rootadmin,root
0b62da2b-da7d-4ca3-a50f-14153963c2bc,การส่งคะแนนสอบภาษาอังกฤษเพื่อสำเร็จการศึกษา ส่งอย่างไร?,"สามารถส่่งจดหมายโดยใส่ซองปิดผนึกและเขียนที่อยู่ตามนี้ ถึงคุณ นงค์เยาว์ จำปาหอม (NONGYAO JAMPAHOM)
ภาควิชา, คณะวิศวกรรมศาสตร์
ชั้น 10, อาคารวิศววัฒนะ,
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี
126 ถนนประชาอุทิศ แขวงบางมด เขตทุ่งครุ กรุงเทพฯ 10140
เบอร์ 02 470 9388
หรือสามารถเดินนำคคะแนนมาส่งได้ด้วยตัวเองที่ภาควิชาวิศวะคอมพิวเตอร์ ชั้น 10, อาคารวิศววัฒนะ",2021-05-12T19:43:17.000Z,คำถามทั่วไป,คำถามทั่วไป,cc094105-2198-4ab0-9718-8fe1bc195015,7affb034-c431-4f3b-b4b1-ec325d770837,root-id,rootadmin,root
0c9da548-5f68-4ef6-a2e2-70729c6c364c,วิชา CPE223/Digital มีวิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,2021-05-12T19:43:04.000Z,คำถามทั่วไป,หลักสูตร,057c3235-0d2b-4d9b-ac64-d736401c66d1,bcbe6b15-6753-4429-9b95-7ecaf7e8c329,root-id,rootadmin,root
0e209b65-8196-4d75-afc4-7a41ec4fc346,วิชา CPE332/Professional issuesมีวิชาตัวต่อมั้ยครับ?,ไม่มีค่ะ,2021-05-12T19:43:05.000Z,คำถามทั่วไป,หลักสูตร,057c3235-0d2b-4d9b-ac64-d736401c66d1,bcbe6b15-6753-4429-9b95-7ecaf7e8c329,root-id,rootadmin,root
0f638c0e-4a9c-4c88-afa5-86a65e7ad558,ยังต้องเข้าไปเรียนที่มหาลัยไหม?,ให้นัักศึกษาดูตามแนวทางการจัดการสอนของแต่ละรายวิชา แต่อาจมีการเปลี่ยนแปลงไปตามประกาศและคำสั่งของราชการ ที่เพจ KMUTT,2021-05-12T19:43:12.000Z,อื่นๆ,ลงทะเบียนเรียน,92302aa2-bf0f-4ee6-9288-ada605f982d0,c7da5b6a-0c13-4de9-b853-367716a591bd,root-id,rootadmin,root
